prod_id,prod_desc,prod_long_desc,theme_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
42049,blah,blahblah,Technic,9.0,4.1,Average,4.3,4.1
42052,blah,blahblah,Technic,19.0,4.0,Challenging,4.3,4.4
42053,blah,blahblah,Technic,18.0,4.6,Average,4.8,4.8
42054,blah,blahblah,Technic,18.0,4.3,Challenging,4.8,4.6
42055,blah,blahblah,Technic,75.0,3.9,Challenging,4.6,4.6
42056,blah,blahblah,Technic,143.0,4.2,Challenging,4.7,4.3
42057,blah,blahblah,Technic,9.0,4.3,Easy,4.7,4.8
42058,blah,blahblah,Technic,2.0,4.5,Easy,4.0,4.0
42059,blah,blahblah,Technic,7.0,4.4,Easy,4.7,4.6
42060,blah,blahblah,Technic,10.0,4.6,Easy,4.8,4.6
42061,blah,blahblah,Technic,6.0,4.6,Average,4.8,4.8
42062,blah,blahblah,Technic,8.0,4.7,Easy,4.8,4.3
42063,blah,blahblah,Technic,12.0,4.2,Average,4.7,4.4
42064,blah,blahblah,Technic,14.0,4.6,Challenging,4.6,4.8
42065,blah,blahblah,Technic,28.0,4.6,Easy,4.5,4.2
42066,blah,blahblah,Technic,7.0,4.0,Challenging,4.9,4.7
42068,blah,blahblah,Technic,12.0,4.0,Average,4.8,4.6
42069,blah,blahblah,Technic,19.0,4.5,Average,4.9,4.7
42070,blah,blahblah,Technic,45.0,3.7,Challenging,3.5,2.9
42071,blah,blahblah,Technic,2.0,5.0,Challenging,5.0,5.0
42072,blah,blahblah,Technic,1.0,5.0,nan,5.0,5.0
42073,blah,blahblah,Technic,2.0,4.5,Easy,4.0,3.5
42074,blah,blahblah,Technic,5.0,4.0,Average,4.8,4.2
42075,blah,blahblah,Technic,1.0,5.0,Easy,5.0,4.0
42076,blah,blahblah,Technic,5.0,3.8,Average,4.2,4.2
42077,blah,blahblah,Technic,8.0,4.1,Average,4.4,4.1
42078,blah,blahblah,Technic,22.0,4.5,Average,4.7,4.7
42084,blah,blahblah,Technic,2.0,4.5,Easy,4.5,4.5
45500,blah,blahblah,MINDSTORMS®,1.0,5.0,Average,4.0,3.0
45501,blah,blahblah,MINDSTORMS®,6.0,4.0,Very Easy,4.3,3.0
45502,blah,blahblah,MINDSTORMS®,2.0,5.0,nan,5.0,5.0
45503,blah,blahblah,MINDSTORMS®,1.0,5.0,Easy,5.0,
45504,blah,blahblah,MINDSTORMS®,4.0,3.0,Challenging,3.5,4.0
45505,blah,blahblah,MINDSTORMS®,,,nan,,
45506,blah,blahblah,MINDSTORMS®,1.0,5.0,Very Easy,5.0,5.0
45507,blah,blahblah,MINDSTORMS®,,,nan,,
45508,blah,blahblah,MINDSTORMS®,3.0,5.0,Average,5.0,3.3
45509,blah,blahblah,MINDSTORMS®,,,nan,,
45514,blah,blahblah,MINDSTORMS®,,,nan,,
45517,blah,blahblah,MINDSTORMS®,2.0,5.0,Very Easy,4.0,2.5
60051,blah,blahblah,City,45.0,4.4,Average,4.4,4.0
60052,blah,blahblah,City,35.0,4.7,Average,4.4,3.8
60100,blah,blahblah,City,10.0,4.4,Very Easy,4.9,5.0
60101,blah,blahblah,City,13.0,4.4,Easy,4.6,4.2
60106,blah,blahblah,City,11.0,3.9,Easy,4.1,4.1
60107,blah,blahblah,City,11.0,4.5,Easy,4.5,4.1
60108,blah,blahblah,City,8.0,4.2,Average,3.9,3.8
60109,blah,blahblah,City,2.0,4.5,Easy,4.5,4.0
60110,blah,blahblah,City,16.0,4.5,Average,4.6,4.6
60117,blah,blahblah,City,35.0,4.5,Easy,4.6,4.6
60119,blah,blahblah,City,14.0,4.0,Easy,4.2,4.2
60120,blah,blahblah,City,7.0,4.7,Easy,4.3,4.3
60121,blah,blahblah,City,6.0,4.8,Easy,4.8,4.4
60122,blah,blahblah,City,4.0,5.0,Average,5.0,4.5
60123,blah,blahblah,City,3.0,4.7,Easy,4.3,4.0
60124,blah,blahblah,City,9.0,5.0,Average,4.6,4.6
60125,blah,blahblah,City,5.0,5.0,Average,4.6,4.2
60129,blah,blahblah,City,5.0,3.8,Easy,3.2,2.0
